AmbCO - Ambulance Clinical Outcomes,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year:<All>,Period Name:<All>,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Year,Period Name,SHA Code,SHA Name,Org Code,Org Name,SQU03_3_1_1 SUM,SQU03_3_1_2 SUM,SQU03_3_2_1 SUM,SQU03_3_2_2 SUM,SQU03_5_1_1 SUM,SQU03_5_1_2 SUM,SQU03_5_2_1 SUM,SQU03_5_2_2 SUM,SQU03_5_3_1 SUM,SQU03_5_3_2 SUM,SQU03_6_1_1 SUM,SQU03_6_1_2 SUM,SQU03_6_2_1 SUM,SQU03_6_2_2 SUM,SQU03_7_1_1 SUM,SQU03_7_1_2 SUM,SQU03_7_2_1 SUM,SQU03_7_2_2 SUM,
2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,14,89,8,37,0,0,105,120,56,65,149,164,279,325,5,89,5,37,
2012-13,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,38,135,19,30,0,0,84,95,53,67,161,200,327,336,10,129,6,27,
2013-14,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,36,159,6,13,NULL,NULL,66,78,50,61,86,103,194,205,11,157,4,11,
2014-15,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,42,145,9,14,0,0,71,81,58,61,144,175,245,246,5,137,3,12,
2015-16,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,31,149,6,11,0,0,66,70,64,71,112,161,369,377,7,138,3,8,
2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,56,219,14,32,17,25,59,59,160,202,148,188,285,297,17,163,7,21,
2012-13,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,73,280,22,34,7,13,148,176,150,197,202,244,645,652,16,234,7,25,
2013-14,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,104,371,23,45,NULL,NULL,109,122,174,207,283,380,945,959,28,331,10,41,
2014-15,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,81,331,20,41,0,0,118,142,230,257,313,420,1036,1044,31,298,13,32,
2015-16,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,72,200,15,23,0,0,156,175,243,293,327,429,1190,1195,25,187,6,21,
