AmbSYS - Ambulance Systems Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year:<All>,Period Name:<All>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,Period Name,Parent org code,Parent name,Org Code,Org Name,HQU03_1_1_3 SUM,HQU03_1_1_4 SUM,HQU03_1_1_5 SUM,HQU03_1_1_6 SUM,HQU03_1_1_7 SUM,HQU03_1_2_1 SUM,HQU03_1_2_2 SUM,SQU03_1_1_1 SUM,SQU03_1_1_2 SUM,SQU03_2_1_1 SUM,SQU03_2_1_2 SUM,SQU03_2_2_1 SUM,SQU03_2_2_2 SUM,SQU03_2_3_1 SUM,SQU03_2_3_2 SUM,SQU03_8_1_1_50 SUM,SQU03_8_1_1_95 SUM,SQU03_8_1_1_99 SUM,SQU03_9_1_1_50 SUM,SQU03_9_1_1_95 SUM,SQU03_9_1_1_99 SUM,SQU03_10_1_1 SUM,SQU03_10_1_2 SUM,SQU03_10_2_1 SUM,SQU03_10_2_2 SUM,Asi Srs17 1 1 1 SUM
2011-12,APRIL,Q38,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,5QT,ISLE OF WIGHT NHS PCT,NULL,NULL,NULL,NULL,NULL,457,462,23,1852,1,174,1,449,5,1852,5,9,12,3,5,5,174,1633,452,1459,NULL
2011-12,APRIL,Q36,LONDON STRATEGIC HEALTH AUTHORITY,RRU,LONDON AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,29158,29356,116,117874,238,5553,934,19862,3869,117874,0,11,63,5.6,11.9,18.2,5553,92934,23164,87381,NULL
2011-12,APRIL,Q39,SOUTH WEST STRATEGIC HEALTH AUTHORITY,RX5,GREAT WESTERN AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,7933,8120,333,28483,88,625,273,6001,38,28483,1,7,90,5.6,14.6,22.1,625,21821,8875,21008,NULL
2011-12,APRIL,Q30,NORTH EAST STRATEGIC HEALTH AUTHORITY,RX6,NORTH EAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,11630,11734,378,38958,154,968,320,6089,0,38958,1,1,29,5.1666667,12.82,19.343,968,25832,8900,25504,NULL
2011-12,APRIL,Q31,NORTH WEST STRATEGIC HEALTH AUTHORITY,RX7,NORTH WEST AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,27173,28199,818,100791,876,2153,753,12955,0,100791,1,1,18,4.15,14.25,25.37,2153,71000,11286,67501,NULL
2011-12,APRIL,Q32,YORKSHIRE AND THE HUMBER STRATEGIC HEALTH AUTHORITY,RX8,YORKSHIRE AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,19727,20134,1062,61824,506,1886,702,9313,889,61824,1,35,96,5.37,12.75,19.43,1886,47018,10700,45132,NULL
2011-12,APRIL,Q33,EAST MIDLANDS STRATEGIC HEALTH AUTHORITY,RX9,EAST MIDLANDS AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,17113,18220,1029,58767,131,2246,918,14334,34,58767,2,42,89,5.63,17.5,28.97,2246,46764,18226,44427,NULL
2011-12,APRIL,Q34,WEST MIDLANDS STRATEGIC HEALTH AUTHORITY,RYA,WEST MIDLANDS AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,21115,21510,101,66902,1012,3323,765,17937,0,66902,1,1,10,5.57,13.58,20.65,3323,58986,18297,55663,NULL
2011-12,APRIL,Q35,EAST OF ENGLAND STRATEGIC HEALTH AUTHORITY,RYC,EAST OF ENGLAND AMBULANCE SERVICE NHS TRUST,NULL,NULL,NULL,NULL,NULL,18141,18907,1277,69982,0,1914,650,20707,0,69982,3,24,63,4.6,15.33,22.98,1914,53804,25306,52803,NULL
2011-12,APRIL,Q37,SOUTH EAST COAST STRATEGIC HEALTH AUTHORITY,RYD,SOUTH EAST COAST AMBULANCE SERVICE NHS FOUNDATION TRUST,NULL,NULL,NULL,NULL,NULL,14924,15217,412,45808,34,1359,412,14465,0,45808,3,16,51,5.63,16.27,24.5,1360,44198,16057,44198,NULL
