NHS 111 - SHA & Self Provider View,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Provider Org:<All>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yearnumber,Periodname,Provider Org Code,Provider Name,Commissioner Org Code,Commissioner Org Name,Nhs1 Population SUM,Nhs1 Number Calls Offered SUM,Nhs1 Calls Through 111 SUM,Nhs1 Calls Through Other SUM,Nhs1 Abandoned Calls SUM,Nhs1 Answered Calls SUM,Nhs1 Answered Through 111 SUM,Nhs1 Answered Through Other SUM,Nhs1 Answered 60sec SUM,Nhs1 Calls Person Triaged SUM,Nhs1 Cnt Caller Terminated SUM,Nhs1 Cnt Caller Referred SUM,Nhs1 Cnt Caller Given Info SUM,Nhs1 Cnt Other Reason SUM,Nhs1 Transferred To Ca SUM,Nhs1 Wtransferred To Ca SUM,Nhs1 Ave Wtransfer Time SUM,Nhs1 Person Offered Call Back SUM,Nhs1 Calls Back Within 10mins SUM,Nhs1 Ave Episode Length SUM,Nhs1 Amb Dispatches SUM,Nhs1 Recommend To Ae SUM,Nhs1 Recommend To Primcare SUM,Nhs1 Rec Contact Prim Com Care SUM,Nhs1 Rec Speak Prim Com Care SUM,Nhs1 Rec Dental Pharmacy SUM,Nhs1 Recommend To Other SUM,Nhs1 Not Recommend SUM,Nhs1 Given Health Information SUM,Nhs1 Recommended Home Care SUM,Nhs1 Recommended Non Clinical SUM,Nhs1 Time Call Handlers SUM,Nhs1 Time Clinical Staff SUM,Nhs1 Cost Call Handlers SUM,Nhs1 Cost Clinical Staff SUM,Nhs1 Total Other Costs SUM
2010-11,Dec-10,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,299753,5782,1317,4465,311,5253,1193,4060,4592,4342,385,52,24,82,1149,945,00:04:10,204,132,00:12:33,538,194,2415,1929,389,97,161,1034,164,509,361,33143.06667,17844.93333,NCA,NCA,NCA
2010-11,Jan-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,5865,1280,4585,164,5473,1205,4268,5260,4381,608,19,15,136,1215,1138,00:03:55,77,43,00:10:57,462,181,2325,1884,344,97,177,1236,216,389,631,28714.61667,17309.8,NCA,NCA,NCA
2010-11,Feb-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,3567,932,2635,8,3493,894,2599,3477,2882,392,3,14,32,948,895,00:03:48,53,33,00:12:00,337,160,1463,1126,284,53,121,801,120,257,424,17761.16667,13719.93333,NCA,NCA,NCA
2010-11,Mar-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,4942,1687,3255,66,4714,1620,3094,4607,3846,588,121,23,58,1266,1178,00:03:32,88,61,00:11:38,473,214,1839,1413,375,51,160,1160,201,386,573,23035.85,17147.86667,NCA,NCA,NCA
2011-12,Apr-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,5797,1596,4201,110,5532,1538,3994,5362,4367,629,15,8,59,1349,1260,00:03:31,89,57,00:10:35,445,196,2181,1645,434,102,168,1377,204,410,763,33396,19839,NCA,NCA,NCA
2011-12,May-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,4576,1530,3046,30,4416,1476,2940,4293,3595,340,26,11,42,1153,1083,00:03:24,70,52,00:11:13,404,187,1863,1343,432,88,168,973,163,311,499,28146,16892,NCA,NCA,NCA
2011-12,Jun-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,3835,1332,2503,25,3699,1274,2425,3607,2996,294,14,10,52,987,925,00:03:12,62,45,00:10:56,376,183,1445,1096,290,59,94,898,106,297,495,22739,13783,NCA,NCA,NCA
2011-12,Jul-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,4628,1372,3256,38,4455,1318,3137,4353,3476,485,7,10,40,1000,900,00:03:12,100,81,00:10:16,366,193,1652,1287,294,71,141,1124,131,324,669,26397,14302,NCA,NCA,NCA
2011-12,Aug-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,4076,1513,2563,42,3884,1423,2461,3770,3140,288,18,13,45,979,921,00:03:16,58,45,00:11:02,356,161,1564,1158,335,71,123,936,92,301,543,24330,13594,NCA,NCA,NCA
2011-12,Sep-11,111AA4,NOTTINGHAM CITY NHS 111,5EM,Nottingham City PCT,303899,4711,1727,2984,45,4526,1657,2869,4437,3576,489,9,9,64,956,912,00:03:15,44,37,00:09:35,350,190,1643,1213,349,81,129,1264,103,312,849,26018,14176,NCA,NCA,NCA
